id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
282,2020-9-6-0-50-17-39145,1,19760,-11656,-32768,-3344,4387,12513
283,2020-9-6-0-50-17-39227,3,1344,-15752,-3328,-3904,8572,-148
284,2020-9-6-0-50-18-39485,4,13124,-16408,6312,-3872,11815,-11812
285,2020-9-6-0-50-18-39599,2,-3144,-15264,-1028,-3344,7008,3482
286,2020-9-6-0-50-18-39646,1,10472,3500,6104,-3344,11952,15180
287,2020-9-6-0-50-18-39730,3,-524,-15296,5296,-3920,1818,-1068
288,2020-9-6-0-50-18-39987,4,284,7224,17180,-3840,-8773,-10163
289,2020-9-6-0-50-18-40100,2,-6208,-17936,-3752,-3328,4826,404
290,2020-9-6-0-50-18-40150,1,24188,9964,-5216,-3344,-2599,-5546
291,2020-9-6-0-50-19-40232,3,2848,-12628,5208,-3904,-4705,-3365
292,2020-9-6-0-50-19-40489,4,-9416,22160,2452,-3872,341,-7849
293,2020-9-6-0-50-19-40602,2,-6880,-15804,-3500,-3360,-2017,2747
294,2020-9-6-0-50-19-40651,1,12016,-15524,-7240,-3376,-23722,26798
295,2020-9-6-0-50-19-40735,3,-2224,-13324,9016,-3936,-15839,-7699
296,2020-9-6-0-50-19-40993,4,14812,-15044,11172,-3856,3956,4305
297,2020-9-6-0-50-19-41104,2,-600,-16432,-88,-3328,-11347,1240
298,2020-9-6-0-50-19-41153,1,5792,1664,-13552,-3376,7860,-11645
299,2020-9-6-0-50-20-41236,3,-1500,-16080,12728,-3952,5614,7015
300,2020-9-6-0-50-20-41495,4,4440,-8576,9236,-3888,4352,-10779
301,2020-9-6-0-50-20-41606,2,-4120,-16560,-6936,-3328,-6219,-16206
302,2020-9-6-0-50-20-41655,1,3828,-2524,-17788,-3344,-94,-2620
303,2020-9-6-0-50-20-41737,3,-5824,-14148,2224,-3952,10986,6570
304,2020-9-6-0-50-20-41996,4,7556,-1272,13504,-3872,14332,20764
305,2020-9-6-0-50-20-42109,2,184,-20376,-10512,-3328,11308,-6651
306,2020-9-6-0-50-20-42155,1,-13384,5780,-28036,-3360,-2043,567
307,2020-9-6-0-50-21-42240,3,-3656,-14988,-3320,-3904,7044,2996
308,2020-9-6-0-50-21-42498,4,11564,-9600,17480,-3872,-1231,2190
309,2020-9-6-0-50-21-42610,2,-4616,-17616,-1572,-3328,1525,1598
310,2020-9-6-0-50-21-42657,1,-2412,11528,-22488,-3360,17114,4471
311,2020-9-6-0-50-21-42741,3,872,-11920,2860,-3920,-15865,-3906
312,2020-9-6-0-50-21-43000,4,6360,-6900,16480,-3888,-359,-5574
313,2020-9-6-0-50-21-43113,2,-7580,-16696,-4388,-3328,-10611,-8030
314,2020-9-6-0-50-21-43162,1,15220,-21184,-30896,-3376,16464,-32768
315,2020-9-6-0-50-22-43246,3,-2272,-13700,15824,-3936,290,5631
316,2020-9-6-0-50-22-43501,4,836,-17240,8576,-3888,-8387,-6978
317,2020-9-6-0-50-22-43614,2,-56,-15012,-4220,-3328,-5307,11197
318,2020-9-6-0-50-22-43662,1,-3824,4828,-32768,-3344,-5844,8635
319,2020-9-6-0-50-22-43748,3,-6452,-16876,2688,-3920,-3855,-1246
